Artist	Tier	Songkick	Seated	Bandsintown	Notes
Eric Bibb	Medium	Y		Y	new_artist_research; folk-blues legend
Eric Gales	Strong	Y	Y	Y	seen 3x
Eric Johanson	Strong	Y	Y	Y	seen 2x
Evan Nicole Bell	Lower	Y		Y	local DC artist; keep
GA-20	Medium	Y		Y	new_artist_research; traditional blues
Galactic	Strong	Y	Y	Y	seen
Gary Clark Jr.	Strong	Y	Y	Y	seen
Ghalia Volt	Medium			Y	Blue-American blues/soul guitarist; Samantha Fish opener 2024-11-20; on artist-mail list
Gov't Mule	Strong	Y	Y	Y	seen; Warren Haynes — now followed on Seated
Greensky Bluegrass	Strong	Y	Y	Y	seen
Haggis X-1	Strong	Y		Y	Enter the Haggis successor project; NOT ON SEATED or SONGKICK
Heavy Heavy	Strong	Y	Y	Y	seen + book
House of Hamill	Medium	Y		Y	Enter the Haggis successor project
Hozier	Strong	Y	Y	Y	seen
Jackie Venson	Strong	Y	Y	Y	seen 2x + bandcamp
Jaime Wyatt	Medium	Y		Y	bandcamp
Jake Blount	Strong	Y		Y	seen + bandcamp; NOT ON SEATED
Jake Xerxes Fussell	Strong	Y	Y	Y	seen + bandcamp
Jared James Nichols	Medium	Y		Y	new_artist_research; blues-rock
Jax Hollow	Strong	Y	Y	Y	seen + book
Jesse Dayton	Medium			Y	Texas country/rockabilly; Buddy Guy opener 2023-06-11; Tab Benoit opener 2024-12-17
JJ Grey & Mofro	Strong	Y	Y	Y	seen 2x
Jimmie Vaughan	Strong	Y	Y	Y	seen + book
Joanne Shaw Taylor	Strong	Y	Y	Y	seen 2x
Joe Bonamassa	Strong	Y	Y	Y	seen + book
Jon Batiste	Strong	Y	Y	Y	seen 2x
Judith Hill	Strong	Y	Y	Y	seen 3x
Kaia Kater	Medium	Y		Y	bandcamp
Kate Davis	Strong	Y	Y	Y	seen 3x + bandcamp
Keb' Mo'	Strong	Y	Y	Y	seen 2x
Kenny Wayne Shepherd	Strong	Y	Y	Y	seen + book
King Solomon Hicks	Medium			Y	NYC Harlem blues guitarist; Jimmie Vaughan opener 2023-08-18
Kingsley Flood	Strong	Y		Y	seen 5x; NOT ON SEATED
Lake Street Dive	Medium	Y		Y	in books; pop-soul adjacent
Langhorne Slim	Strong	Y	Y	Y	seen
Larkin Poe	Strong	Y	Y	Y	seen 6x
Leyla McCalla	Medium	Y		Y	bandcamp
Lightnin' Malcolm	Medium			Y	Mississippi one-man-band; Hill Country blues; Tab Benoit opener 2022-11-17
The Lone Bellow	Strong	Y	Y	Y	seen 4x
Lucinda Williams	Strong	Y	Y	Y	pending buy May 2026
Lucy Dacus	Medium	Y		Y	override medium: indie singer-songwriter
Lyle Lovett	Strong	Y	Y	Y	seen
Maggie Rose	Strong	Y	Y	Y	seen
Marcus King	Strong	Y	Y	Y	seen
Mark Knopfler	Strong	Y	Y	Y	override strong: Dire Straits legend; solo artist, still active
Mathias Lattin	Medium			Y	Kingfish protégé; local DC blues/R&B guitarist
Matteo Mancuso	Strong	Y	Y	Y	seen
Mavis Staples	Strong	Y	Y	Y	seen (support Jul 2026)
Mikaela Davis	Strong	Y	Y	Y	seen + book
Mike Zito	Strong	Y	Y	Y	seen 2x
Mohini Dey	Strong	Y	Y	Y	seen
Molly Tuttle	Lower	Y		Y	support act Jul 2026; worth following
Muireann Bradley	Strong	Y	Y	Y	seen + book + bandcamp
Nat Myers	Medium	Y		Y	new_artist_research; acoustic country blues
Nicole Atkins	Medium			Y	NJ Americana singer-songwriter; Lone Bellow opener 2025-11-14
North Mississippi Allstars	Strong	Y	Y	Y	seen 2x
Oh He Dead	Strong	Y	Y	Y	seen 3x
Oliver Wood	Strong	Y	Y	Y	seen 3x
Orianthi	Strong	Y	Y	Y	seen (ticket Jun 2026)
P!nk	Medium	Y		Y	override medium: pop crossover; seen-adjacent
Peter Gabriel	Strong	Y	Y	Y	override strong: legendary artist still actively touring
The Pietasters	Strong	Y		Y	seen; NOT ON SEATED
Rebirth Brass Band	Lower	Y	Y	Y	New Orleans brass; worth tracking all services
Rhiannon Giddens	Strong	Y	Y	Y	seen 2x + bandcamp
Robert Jon & The Wreck	Strong	Y	Y	Y	seen (ticket Jul 2026)
Robert Randolph	Strong	Y	Y	Y	seen 3x
Ruthie Foster	Strong	Y	Y	Y	seen + book
Samantha Fish	Strong	Y	Y	Y	seen 2x
Selwyn Birchwood	Strong	Y		Y	seen 4x + bandcamp; NOT ON SEATED
Shakey Graves	Strong	Y	Y	Y	seen + book
Shaw Davis & The Black Ties	Strong	Y		Y	seen; NOT ON SEATED
Shawn James	Strong	Y	Y	Y	seen
Shemekia Copeland	Strong	Y	Y	Y	seen + book
Shovels & Rope	Strong	Y	Y	Y	seen 2x
Sonny Landreth	Strong	Y		Y	seen 2x; NOT ON SEATED (platform has The Bros. Landreth)
Southern Avenue	Strong	Y	Y	Y	seen + bandcamp
Sparkbird	Strong	Y	Y	Y	seen + bandcamp
Steve Vai	Strong	Y	Y	Y	seen (ticket May 2026)
Sue Foley	Strong	Y	Y	Y	seen 4x
Suzanne Vega	Strong	Y	Y	Y	seen 3x
Tab Benoit	Strong	Y	Y	Y	seen 4x
Taj Farrant	Strong	Y	Y	Y	seen
Taj Mahal	Strong	Y	Y	Y	pending buy Jul 2026
Tal Wilkenfeld	Lower	Y		Y	sit-in doesn't count; follow for headline shows
Tedeschi Trucks Band	Strong	Y	Y	Y	seen 2x
The Teskey Brothers	Medium	Y	Y	Y	blues-soul; strong live rep; add all services
The Dirty Dozen Brass Band	Medium			Y	NOLA brass legends; Tab Benoit opener 2022-11-17
The Iguanas	Medium			Y	NOLA roots rock/Tex-Mex; Sonny Landreth opener 2024-05-16
The James Hunter Six	Medium			Y	British soul/R&B sextet; Bonnie Raitt opener 2024-06-01
The Soul Rebels	Medium			Y	NOLA brass/hip-hop hybrid; Trombone Shorty opener 2024-03-02
The Wildmans	Medium			Y	Nashville folk/country duo; Wood Brothers opener 2025-12-04; bandcamp
Tommy Emmanuel	Strong	Y	Y	Y	seen
Tracy Chapman	Medium	Y		Y	override medium: rare performer but legendary
Trombone Shorty & Orleans Avenue	Strong	Y		Y	seen 4x; full band name NOT ON SEATED (only "Trombone Shorty")
Valerie June	Strong	Y	Y	Y	seen 2x + bandcamp
Vanessa Collier	Strong	Y		Y	seen 6x; NOT ON SEATED
Walter Trout	Strong	Y	Y	Y	seen
The War and Treaty	Strong	Y	Y	Y	seen
Warren Haynes	Medium	Y		Y	in books; Gov't Mule
Waxahatchee	Medium	Y		Y	override medium: Americana-adjacent
Whitney Mongé	Medium	Y		Y	bandcamp
The Wood Brothers	Strong	Y	Y	Y	seen 3x + bandcamp
Yasmin Williams	Strong	Y	Y	Y	seen + book
Young Dubliners	Strong	Y	Y	Y	seen
ZZ Ward	Strong	Y	Y	Y	seen 4x
